second,id,parent,node,organism_parent,lineage,x,y,role,energy
5,2,0,4,4294967295,3,-10.8357,10.2472,0,0.82218
5,2,4,5,4294967295,3,-10.1164,9.16343,0,0.916665
5,2,5,6,4294967295,3,-8.96232,8.63772,0,0.945021
5,2,6,7,4294967295,3,-8.21889,7.63017,0,0.955604
5,2,7,8,4294967295,3,-7.10754,6.91803,0,0.958825
5,3,-1,0,4294967295,4,3.36211,1.57873,1,0.595979
5,3,0,1,4294967295,4,3.0712,2.64339,8,1.44282
5,3,1,2,4294967295,4,2.91704,3.62697,3,1.11566
5,3,0,3,4294967295,4,2.49106,0.841234,8,1.24858
5,3,3,4,4294967295,4,1.6565,0.281463,3,0.944007
5,3,0,5,4294967295,4,4.50628,1.46512,8,1.31712
5,3,5,6,4294967295,4,5.45475,1.21207,3,0.814387
5,5,-1,0,1,2,12.5241,-10.5468,1,0.48728
5,6,-1,0,2,3,-11.7003,10.3538,1,0.475983
5,7,-1,0,3,4,3.28926,0.801533,1,0.520033
5,5,0,1,1,2,11.5937,-10.3091,4,0.480368
5,6,0,1,2,3,-12.4553,9.59563,4,0.489946
5,7,0,1,3,4,2.82808,-0.190739,8,0.960031
5,4,-1,0,0,1,-12.2955,-9.12312,1,0.6132
5,5,1,2,1,2,12.1615,-11.4791,3,0.465684
5,6,1,2,2,3,-11.1869,9.29383,3,0.453774
5,7,1,2,3,4,2.34636,-1.05249,3,0.583786
5,5,1,3,1,2,12.3174,-9.24664,3,0.506449
5,6,1,3,2,3,-12.9417,10.8535,3,0.51234
5,7,0,3,3,4,4.31142,1.08499,8,0.58574
6,0,-1,0,4294967295,1,-12.8082,-8.51026,1,0.409334
6,0,0,1,4294967295,1,-11.98,-8.34724,8,1.26181
6,0,0,2,4294967295,1,-13.3378,-7.86292,8,1.35001
6,0,0,3,4294967295,1,-13.1909,-9.2465,8,1.29432
6,1,-1,0,4294967295,2,13.9679,-9.26122,1,0.439817
6,1,0,1,4294967295,2,14.7973,-8.86116,4,0.498895
6,1,1,2,4294967295,2,13.5185,-8.61733,3,0.524981
6,1,1,3,4294967295,2,14.3464,-10.0998,3,0.543097
6,2,-1,0,4294967295,3,-11.9386,11.3773,1,0.264097
6,2,0,1,4294967295,3,-12.8899,11.7917,4,0.828449
6,2,1,2,4294967295,3,-12.8817,10.4723,3,0.825022
6,2,1,3,4294967295,3,-11.8094,12.4466,3,0.855768
6,2,0,4,4294967295,3,-10.8471,10.7071,0,0.828171
6,2,4,5,4294967295,3,-10.2601,9.51922,0,0.870529
6,2,5,6,4294967295,3,-9.24403,8.72774,0,0.922557
6,2,6,7,4294967295,3,-8.47951,7.69835,0,0.96187
6,2,7,8,4294967295,3,-7.21723,7.25375,0,0.967717
6,3,-1,0,4294967295,4,3.33077,1.6233,1,0.301334
6,3,0,1,4294967295,4,2.62769,2.52763,8,1.49882
6,3,1,2,4294967295,4,2.0191,3.33802,3,0.956089
6,3,0,3,4294967295,4,2.78126,0.666236,8,1.53819
6,3,3,4,4294967295,4,2.287,-0.182305,3,0.927674
6,3,0,5,4294967295,4,4.4369,1.89829,8,1.39843
6,3,5,6,4294967295,4,5.39867,2.23128,3,0.868013
6,5,-1,0,1,2,11.958,-10.6094,1,0.572068
6,6,-1,0,2,3,-12.2856,10.634,1,0.554741
6,7,-1,0,3,4,3.50975,0.784493,1,0.484526
6,5,0,1,1,2,11.0649,-10.3929,4,0.506449
6,6,0,1,2,3,-13.3145,10.1881,4,0.56718
6,7,0,1,3,4,3.03613,-0.226308,8,0.865657
6,4,-1,0,0,1,-12.2976,-9.12732,1,0.396341
6,5,1,2,1,2,11.7557,-11.5078,3,0.46835
6,6,1,2,2,3,-12.4104,9.26691,3,0.528622
6,7,1,2,3,4,2.7345,-1.18187,3,0.531191
6,5,1,3,1,2,12.0845,-9.55209,3,0.496744
6,6,1,3,2,3,-13.2702,11.4974,3,0.623145
6,7,0,3,3,4,4.58082,0.545383,8,0.80821
6,4,0,1,0,1,-11.7943,-9.80499,8,0.832193
6,6,0,4,2,3,-11.8235,11.7955,0,0.52
6,7,3,4,3,4,5.53233,0.810502,3,0.52
7,0,-1,0,4294967295,1,-12.8062,-8.50847,1,0.434863
7,0,0,1,4294967295,1,-11.9799,-8.34009,8,1.25947
7,0,0,2,4294967295,1,-13.335,-7.86036,8,1.31115
7,0,0,3,4294967295,1,-13.1774,-9.25151,8,1.36598
7,1,-1,0,4294967295,2,14.4778,-8.82029,1,0.49836
7,1,0,1,4294967295,2,15.4054,-8.80896,4,0.521393
7,1,1,2,4294967295,2,14.3965,-7.97689,3,0.578252
7,1,1,3,4294967295,2,14.6243,-9.87028,3,0.518711
7,2,-1,0,4294967295,3,-12.5221,11.3242,1,0.728836
7,2,0,1,4294967295,3,-13.1488,12.1654,4,0.743827
7,2,1,2,4294967295,3,-14.1565,11.2439,3,0.798617
7,2,1,3,4294967295,3,-11.7831,12.2691,3,0.740509
7,2,0,4,4294967295,3,-11.505,10.5643,0,0.769879
7,2,4,5,4294967295,3,-10.446,9.74263,0,0.835238
7,2,5,6,4294967295,3,-9.3288,9.02913,0,0.904777
7,2,6,7,4294967295,3,-8.62892,7.92271,0,0.963339
7,2,7,8,4294967295,3,-7.39603,7.38602,0,0.962897
7,3,-1,0,4294967295,4,3.27463,1.47738,1,0.858954
7,3,0,1,4294967295,4,2.31152,2.01218,8,1.49479
7,3,1,2,4294967295,4,1.51322,2.59068,3,0.9447
7,3,0,3,4294967295,4,3.07225,0.399227,8,1.4075
7,3,3,4,4294967295,4,2.74661,-0.53718,3,0.843747
7,3,0,5,4294967295,4,4.0884,2.24338,8,1.34614
7,3,5,6,4294967295,4,4.82619,2.92403,3,0.792694
7,5,-1,0,1,2,11.282,-10.6257,1,0.496031
7,6,-1,0,2,3,-13.2443,10.955,1,0.544282
7,7,-1,0,3,4,3.88677,0.908613,1,0.592114
7,5,0,1,1,2,10.5822,-10.0567,4,0.4746
7,6,0,1,2,3,-14.1533,10.4771,4,0.569786
7,7,0,1,3,4,3.51347,-0.170529,8,1.18704
7,4,-1,0,0,1,-12.313,-9.13787,1,0.306243
7,5,1,2,1,2,10.9201,-11.3378,3,0.4543
7,6,1,2,2,3,-13.1498,9.68718,3,0.562293
7,7,1,2,3,4,3.13372,-1.121,3,0.793757
7,5,1,3,1,2,11.8985,-10.0511,3,0.480986
7,6,1,3,2,3,-13.6723,11.7435,3,0.672752
7,7,0,3,3,4,5.00056,1.00756,8,0.933103
7,4,0,1,0,1,-11.7985,-9.80592,8,0.89029
7,6,0,4,2,3,-12.3736,11.9,0,0.533197
7,7,3,4,3,4,5.98884,0.903472,3,0.551553
8,0,-1,0,4294967295,1,-12.8022,-8.50625,1,0.442337
8,0,0,1,4294967295,1,-11.9763,-8.33395,8,1.29748
8,0,0,2,4294967295,1,-13.3372,-7.86328,8,1.32776
8,0,0,3,4294967295,1,-13.1724,-9.24908,8,1.35989
8,1,-1,0,4294967295,2,15.1717,-8.44389,1,0.575971
8,1,0,1,4294967295,2,15.9443,-8.96006,4,0.553416
8,1,1,2,4294967295,2,15.6478,-7.68129,3,0.53835
8,1,1,3,4294967295,2,14.7168,-9.46437,3,0.548686
8,2,-1,0,4294967295,3,-13.005,11.4344,1,0.624695
8,2,0,1,4294967295,3,-13.2949,12.4489,4,0.636239
8,2,1,2,4294967295,3,-14.478,11.8343,3,0.646021
8,2,1,3,4294967295,3,-12.1189,11.7356,3,0.663534
8,2,0,4,4294967295,3,-12.2558,10.3686,0,0.698468
8,2,4,5,4294967295,3,-11.0587,9.55701,0,0.818116
8,2,5,6,4294967295,3,-9.67204,9.30656,0,0.915338
8,2,6,7,4294967295,3,-8.72904,8.3377,0,0.949635
8,2,7,8,4294967295,3,-7.62946,7.52126,0,0.952896
8,3,-1,0,4294967295,4,3.30063,1.369,1,0.869038
8,3,0,1,4294967295,4,2.20209,1.50651,8,1.45764
8,3,1,2,4294967295,4,1.22807,1.64346,3,0.90836
8,3,0,3,4294967295,4,3.39888,0.28503,8,1.30398
8,3,3,4,4294967295,4,3.24932,-0.705232,3,0.781292
8,3,0,5,4294967295,4,3.79996,2.39099,8,1.26825
8,3,5,6,4294967295,4,4.21278,3.30819,3,0.749955
8,5,-1,0,1,2,10.5797,-10.6689,1,0.453419
8,6,-1,0,2,3,-13.8225,11.4304,1,0.555124
8,7,-1,0,3,4,3.98359,1.01963,1,0.590543
8,5,0,1,1,2,10.4637,-9.7429,4,0.440396
8,6,0,1,2,3,-14.6945,10.947,4,0.621394
8,7,0,1,3,4,4.01745,-0.136122,8,1.32266
8,4,-1,0,0,1,-12.3227,-9.14664,1,0.288704
8,5,1,2,1,2,9.6697,-10.7996,3,0.426333
8,6,1,2,2,3,-13.4794,10.4999,3,0.566497
8,7,1,2,3,4,4.07435,-1.1578,3,0.75171
8,5,1,3,1,2,11.6795,-10.2675,3,0.450414
8,6,1,3,2,3,-14.0429,12.151,3,0.59152
8,7,0,3,3,4,5.02524,1.38222,8,0.964036
8,4,0,1,0,1,-11.7999,-9.80855,8,0.875829
8,6,0,4,2,3,-12.8082,12.1819,0,0.528746
8,7,3,4,3,4,6.00744,1.52839,3,0.618574
8,6,4,5,2,3,-11.8357,12.9452,0,0.519729
8,7,0,5,3,4,3.0559,1.76953,8,0.805237
9,0,-1,0,4294967295,1,-12.8006,-8.5052,1,0.446344
9,0,0,1,4294967295,1,-11.9756,-8.32995,8,1.38312
9,0,0,2,4294967295,1,-13.3368,-7.86316,8,1.31759
9,0,0,3,4294967295,1,-13.1669,-9.24999,8,1.33641
9,1,-1,0,4294967295,2,16.0312,-8.35759,1,0.552442
9,1,0,1,4294967295,2,16.1959,-9.27436,4,0.547086
9,1,1,2,4294967295,2,16.8992,-8.16104,3,0.522623
9,1,1,3,4294967295,2,14.9745,-8.74261,3,0.573678
9,2,-1,0,4294967295,3,-13.2356,11.6605,1,0.536762
9,2,0,1,4294967295,3,-13.4033,12.6329,4,0.566189
9,2,1,2,4294967295,3,-14.6071,12.0897,3,0.573263
9,2,1,3,4294967295,3,-12.5735,11.5377,3,0.604067
9,2,0,4,4294967295,3,-12.6601,10.5386,0,0.636992
9,2,4,5,4294967295,3,-11.6886,9.60374,0,0.769891
9,2,5,6,4294967295,3,-10.3633,9.29276,0,0.857152
9,2,6,7,4294967295,3,-9.24998,8.5264,0,0.900255
9,2,7,8,4294967295,3,-7.94702,8.04887,0,0.917362
9,3,-1,0,4294967295,4,3.00385,1.14218,1,0.770474
9,3,0,1,4294967295,4,1.92014,0.951845,8,1.53888
9,3,1,2,4294967295,4,0.939625,0.850667,3,0.993182
9,3,0,3,4294967295,4,3.59034,0.168555,8,1.21978
9,3,3,4,4294967295,4,3.9762,-0.76444,3,0.739493
